"№","предмет выдачи","число ссуд","на сумму (руб)","более подробные сведения, на какие именно предметы выданы ссуды"
1,"покупка земли в полную собственность",,,
2,"Постройка, покупка, оборудование и ремонт предприятий сельско-хозяйственных и промышленных (мельниц, маслобоен, кузниц, амбаров, сараев и т.п.)",2,150р.,"1 с. на 80 руб. - на покупку мельницы; 1 с. - на постройку двора - 70 руб."
3,"постройки для жилья, покупка их или ремонт",1,20р.,"постройка дома"
4,"Улучшение угодий (покупка удобрений, искусственное орошение, осушение, корчевание и т.п.) устройство плотин, прудов, садов, огородов",,,
5,"покупка и почин орудиц для сельского хозяйтсва (машин и проч.)",,,
6,"покупка и починка орудий ремесленного, кустарного и других промыслов (слесарные, столярные инструменты, приборы и проч.)",1,40р.,"покупка кузнечных изделий"
7,"покупка рабочего скота, всяких домашних животных (лошади, волы, ослы, верблюды, коровы, овцы т и.п.), домашней птицы, пчел и т.п.",9,490р.,"7 с. на 420 руб. - покупка коровы; 2 с. на 70 руб. - покупка лошади"
8,"аренда (земли и други угодий, мельницы, промышленного заведения)",,,
9,"покупка семян для посева",16,350р.,"покупка ржи на семена"
10,"покупка материалов ремесленного, кустарного и других промыслов (сталь, железо, медь, дерево, сукно, кожа, шерсть, краски и т.п.)",16,347р.,"1 с. на 25 руб. на покупку рыболовной сети; 1 с. на 15 руб. на покупку лодки; 13 с. на 282 руб. - на покупку кожи;  1 с. на 25 руб. - на постройку шкафа "
11,"наем машин и рабочей силы (рабочих, рабочего скота, электрической и другой энергии), покупка горючего материала (дров, уголь и т.п.)",3,95р.,"2 с. на 45 руб. - на наем рабочих рук; 1 с. на 50 руб. - на покупку экипажа"
12,"Покупка разного рода товаров для продажи",,,
13,"покупка корма для скота (ове, сено, отруби и т.п.)",,,
14,"снаряжение в отхожие промыслы",,,
15,"уплата частных долгов",,,
16,"переписка выданных товаищеских обязательств  на новые сроки или на новых условиях",,,
17,"разные личные расходы заемщика и его семьи (продовольствие, отопление, уплата повинностей, свадьбы, похороны, лечение, воспитание детей, наряды, довольствия, мебель, книги и т.п.)",8,215р.,"2 с. на 48 руб. - на покупкумуки для продовольствия; 2 с. на 32 р. - на личные расходы; 3 с. на 85 руб. - на свадьбу; 1 с. на 50 руб. - на снаряжение сына в армию"
18,"ссуды под залог произведений сельского хозяйства и промыслов",,,
19,"ссуды под залог ремесленныз и кустарных произведений",,,
"ИТОГО",,56,1707,
