"№","предмет выдачи","число ссуд","на сумму (руб)","более подробные сведения, на какие именно предметы выданы ссуды"
1,"покупка земли в полную собственность",,,
2,"Постройка, покупка, оборудование и ремонт предприятий сельско-хозяйственных и промышленных (мельниц, маслобоен, кузниц, амбаров, сараев и т.п.)",2,85р.,
3,"постройки для жилья, покупка их или ремонт",12,190р.,
4,"Улучшение угодий (покупка удобрений, искусственное орошение, осушение, корчевание и т.п.) устройство плотин, прудов, садов, огородов",1,25р.,
5,"покупка и почин орудиц для сельского хозяйтсва (машин и проч.)",,,
6,"покупка и починка орудий ремесленного, кустарного и других промыслов (слесарные, столярные инструменты, приборы и проч.)",,,
7,"покупка рабочего скота, всяких домашних животных (лошади, волы, ослы, верблюды, коровы, овцы т и.п.), домашней птицы, пчел и т.п.",4,110р.,
8,"аренда (земли и други угодий, мельницы, промышленного заведения)",1,70р.,"Уплата за аренду мельницы (70 руб.)"
9,"покупка семян для посева",,,
10,"покупка материалов ремесленного, кустарного и других промыслов (сталь, железо, медь, дерево, сукно, кожа, шерсть, краски и т.п.)",3,150р.,"на покупку материалов для кожевенного производства"
11,"наем машин и рабочей силы (рабочих, рабочего скота, электрической и другой энергии), покупка горючего материала (дров, уголь и т.п.)",6,255р.,
12,"Покупка разного рода товаров для продажи",6,400р.,
13,"покупка корма для скота (ове, сено, отруби и т.п.)",6,235р.,
14,"снаряжение в отхожие промыслы",18,"1,105р.","на поездку по извозу к Белому морю"
15,"уплата частных долгов",,,
16,"переписка выданных товаищеских обязательств  на новые сроки или на новых условиях",,,
17,"разные личные расходы заемщика и его семьи (продовольствие, отопление, уплата повинностей, свадьбы, похороны, лечение, воспитание детей, наряды, довольствия, мебель, книги и т.п.)",13,205р.,"выдача ссуд по п. 17. производилась товарищам, отрпавлявшим детей и родственников на военную сулжбу при призыве по мобилизации (на путевые расходы)"
18,"ссуды под залог произведений сельского хозяйства и промыслов",,,
19,"ссуды под залог ремесленныз и кустарных произведений",,,
"ИТОГО",,72,"2,830р.",
