"№","предмет выдачи","число ссуд","на сумму (руб)","более подробные сведения, на какие именно предметы выданы ссуды"
1,"покупка земли в полную собственность",,,
2,"Постройка, покупка, оборудование и ремонт предприятий сельско-хозяйственных и промышленных (мельниц, маслобоен, кузниц, амбаров, сараев и т.п.)",57,"1,385р.","постройка и ремонт сараев, конюшен, мельниц и кузниц"
3,"постройки для жилья, покупка их или ремонт",66,"1,670р.","ремонт и постройка дома"
4,"Улучшение угодий (покупка удобрений, искусственное орошение, осушение, корчевание и т.п.) устройство плотин, прудов, садов, огородов",,,
5,"покупка и почин орудиц для сельского хозяйтсва (машин и проч.)",10,247р.,"покупка телег, плугов, кос и пил"
6,"покупка и починка орудий ремесленного, кустарного и других промыслов (слесарные, столярные инструменты, приборы и проч.)",14,304р.,"покупка столярных инструментов и приборов для рыбной ловли"
7,"покупка рабочего скота, всяких домашних животных (лошади, волы, ослы, верблюды, коровы, овцы т и.п.), домашней птицы, пчел и т.п.",32,"1,170р.","покупка лошадей, коров, свиней"
8,"аренда (земли и други угодий, мельницы, промышленного заведения)",,,
9,"покупка семян для посева",60,939р.,"семена яровых и озимых хлебов"
10,"покупка материалов ремесленного, кустарного и других промыслов (сталь, железо, медь, дерево, сукно, кожа, шерсть, краски и т.п.)",15,324р.,"покупка железа и меди для выделки коровьих колоколов"
11,"наем машин и рабочей силы (рабочих, рабочего скота, электрической и другой энергии), покупка горючего материала (дров, уголь и т.п.)",25,444р.,"наем рабочих во время сенокоса и уборки хлеба"
12,"Покупка разного рода товаров для продажи",,,
13,"покупка корма для скота (ове, сено, отруби и т.п.)",37,750р.,"покупка сена и овса"
14,"снаряжение в отхожие промыслы",12,225р.,"снаряжение в извоз"
15,"уплата частных долгов",,,
16,"переписка выданных товаищеских обязательств  на новые сроки или на новых условиях",,,
17,"разные личные расходы заемщика и его семьи (продовольствие, отопление, уплата повинностей, свадьбы, похороны, лечение, воспитание детей, наряды, довольствия, мебель, книги и т.п.)",19,429р.,"одежда, продовольствие, свадьбы, похороны"
18,"ссуды под залог произведений сельского хозяйства и промыслов",,,
19,"ссуды под залог ремесленныз и кустарных произведений",,,
"ИТОГО",,347,"7,887р.",
