"№","предмет выдачи","число ссуд","на сумму (руб)","более подробные сведения, на какие именно предметы выданы ссуды"
1,"покупка земли в полную собственность",1,50р.,"1 с. - на покупу земли в собственность"
2,"Постройка, покупка, оборудование и ремонт предприятий сельско-хозяйственных и промышленных (мельниц, маслобоен, кузниц, амбаров, сараев и т.п.)",2,100р.,"1 с. на 50 руб. - на постройку кузницы; 1 с. на 50 руб. - на постройку мельницы"
3,"постройки для жилья, покупка их или ремонт",11,350р.,"6 с. на 130 руб. - на постройку дома; 5 с. на 220 руб. - на обделку изб"
4,"Улучшение угодий (покупка удобрений, искусственное орошение, осушение, корчевание и т.п.) устройство плотин, прудов, садов, огородов",4,40р.,"1 с. на 15 руб. - на распашку нивы; 2 с. на 10 руб. - покупка удобрений; 1 с. на 15 руб. - устройство сада"
5,"покупка и почин орудиц для сельского хозяйтсва (машин и проч.)",2,70р.,"2 - покупка соломорезки"
6,"покупка и починка орудий ремесленного, кустарного и других промыслов (слесарные, столярные инструменты, приборы и проч.)",4,35р.,"2 с. на 15 руб. - починка швейной машинки; 2 с. на 20 руб. - покупка столярных инструментов"
7,"покупка рабочего скота, всяких домашних животных (лошади, волы, ослы, верблюды, коровы, овцы т и.п.), домашней птицы, пчел и т.п.",,,
8,"аренда (земли и други угодий, мельницы, промышленного заведения)",,,
9,"покупка семян для посева",4,60р.,"на покупу семян для посева"
10,"покупка материалов ремесленного, кустарного и других промыслов (сталь, железо, медь, дерево, сукно, кожа, шерсть, краски и т.п.)",,,
11,"наем машин и рабочей силы (рабочих, рабочего скота, электрической и другой энергии), покупка горючего материала (дров, уголь и т.п.)",3,40р.,"на наем рабочих"
12,"Покупка разного рода товаров для продажи",,,
13,"покупка корма для скота (ове, сено, отруби и т.п.)",4,40р.,"4 с. - на покупку сена"
14,"снаряжение в отхожие промыслы",,,
15,"уплата частных долгов",,,
16,"переписка выданных товаищеских обязательств  на новые сроки или на новых условиях",,,
17,"разные личные расходы заемщика и его семьи (продовольствие, отопление, уплата повинностей, свадьбы, похороны, лечение, воспитание детей, наряды, довольствия, мебель, книги и т.п.)",,,
18,"ссуды под залог произведений сельского хозяйства и промыслов",,,
19,"ссуды под залог ремесленныз и кустарных произведений",,,
"ИТОГО",,35,785,
