"№","предмет выдачи","число ссуд","на сумму (руб)","более подробные сведения, на какие именно предметы выданы ссуды"
1,"покупка земли в полную собственность",,,
2,"Постройка, покупка, оборудование и ремонт предприятий сельско-хозяйственных и промышленных (мельниц, маслобоен, кузниц, амбаров, сараев и т.п.)",1,150р.,"на покупку тарантаса содержателю станции"
3,"постройки для жилья, покупка их или ремонт",6,230р.,"на постройку новых домов и ремонт старых"
4,"Улучшение угодий (покупка удобрений, искусственное орошение, осушение, корчевание и т.п.) устройство плотин, прудов, садов, огородов",1,35р.,"на удобрение полей"
5,"покупка и почин орудиц для сельского хозяйтсва (машин и проч.)",,,
6,"покупка и починка орудий ремесленного, кустарного и других промыслов (слесарные, столярные инструменты, приборы и проч.)",4,82р.,"на хозяйственные расходы"
7,"покупка рабочего скота, всяких домашних животных (лошади, волы, ослы, верблюды, коровы, овцы т и.п.), домашней птицы, пчел и т.п.",3,105р.,"на покупу жеребенка - 1 с.; на покупку коровы - 1 с.; на покупку овцы - 1 с."
8,"аренда (земли и други угодий, мельницы, промышленного заведения)",,,
9,"покупка семян для посева",5,125р.,"на покупку семян ржи"
10,"покупка материалов ремесленного, кустарного и других промыслов (сталь, железо, медь, дерево, сукно, кожа, шерсть, краски и т.п.)",14,232р.,"на покупку кожи и подошв на сапоги"
11,"наем машин и рабочей силы (рабочих, рабочего скота, электрической и другой энергии), покупка горючего материала (дров, уголь и т.п.)",9,206р.,"на наем рабочих рук и наем лошадей"
12,"Покупка разного рода товаров для продажи",1,150р.,"на покупку мяса для продажи"
13,"покупка корма для скота (ове, сено, отруби и т.п.)",,,
14,"снаряжение в отхожие промыслы",,,
15,"уплата частных долгов",,,
16,"переписка выданных товаищеских обязательств  на новые сроки или на новых условиях",,,
17,"разные личные расходы заемщика и его семьи (продовольствие, отопление, уплата повинностей, свадьбы, похороны, лечение, воспитание детей, наряды, довольствия, мебель, книги и т.п.)",9,187р.,"продовольствие - 7 ссуд; на воспитание детей - 1 с.; на личные расходы - 1 с."
18,"ссуды под залог произведений сельского хозяйства и промыслов",,,
19,"ссуды под залог ремесленныз и кустарных произведений",,,
"ИТОГО",,53,1502,
