"№","предмет выдачи","число ссуд","на сумму (руб)","более подробные сведения, на какие именно предметы выданы ссуды"
1,"покупка земли в полную собственность",,,
2,"Постройка, покупка, оборудование и ремонт предприятий сельско-хозяйственных и промышленных (мельниц, маслобоен, кузниц, амбаров, сараев и т.п.)",9,160р.,
3,"постройки для жилья, покупка их или ремонт",15,320р.,
4,"Улучшение угодий (покупка удобрений, искусственное орошение, осушение, корчевание и т.п.) устройство плотин, прудов, садов, огородов",1,20р.,"устройство огорода"
5,"покупка и почин орудиц для сельского хозяйтсва (машин и проч.)",8,215р.,
6,"покупка и починка орудий ремесленного, кустарного и других промыслов (слесарные, столярные инструменты, приборы и проч.)",,,
7,"покупка рабочего скота, всяких домашних животных (лошади, волы, ослы, верблюды, коровы, овцы т и.п.), домашней птицы, пчел и т.п.",12,315р.,
8,"аренда (земли и други угодий, мельницы, промышленного заведения)",5,90р.,"аренда земли и пожень"
9,"покупка семян для посева",67,1 063р.,
10,"покупка материалов ремесленного, кустарного и других промыслов (сталь, железо, медь, дерево, сукно, кожа, шерсть, краски и т.п.)",2,45р.,"покупка дерева"
11,"наем машин и рабочей силы (рабочих, рабочего скота, электрической и другой энергии), покупка горючего материала (дров, уголь и т.п.)",18,275р.,"наем рабочих"
12,"Покупка разного рода товаров для продажи",1,15р.,
13,"покупка корма для скота (ове, сено, отруби и т.п.)",,,
14,"снаряжение в отхожие промыслы",,,
15,"уплата частных долгов",3,35р.,
16,"переписка выданных товаищеских обязательств  на новые сроки или на новых условиях",,,
17,"разные личные расходы заемщика и его семьи (продовольствие, отопление, уплата повинностей, свадьбы, похороны, лечение, воспитание детей, наряды, довольствия, мебель, книги и т.п.)",27,351р.,"продовольствие 23 ссуды на 246 руб.; покупка мебели - 1 с. на 60 руб., покупка пальто - 1 с. на 25 р., покупка обуви и одежды - 2 с. на 20 руб."
18,"ссуды под залог произведений сельского хозяйства и промыслов",,,
19,"ссуды под залог ремесленныз и кустарных произведений",,,
"ИТОГО",,168,2904,
