year,settlement,month_start,month_end,credit_item,loan_count,amount_rubles,loan_details
1911,Shalskoye,11,11,Housing,3,37,на ремонт
1911,Shalskoye,11,11,Livestock,3,36,на покупку лошадей и коров
1911,Shalskoye,11,11,Seeds,1,10,на семена овса
1911,Shalskoye,11,11,AnimalFeed,1,13,на покупку сена
1911,Shalskoye,10,10,Housing,5,295,достройка и обделка дома
1911,Shalskoye,10,10,CraftTools,7,518,на рыболовные сети
1911,Shalskoye,10,10,Livestock,3,82,на покупку лошадей
1911,Shalskoye,10,10,AnimalFeed,1,100,на покупку хлеба
1911,Shalskoye,10,10,PersonalExpenses,1,50,на одежду
1911,Shalskoye,12,12,FarmBuildings,1,7,на сети рыболовные
1911,Shalskoye,12,12,Housing,1,10,обделка дома
1911,Shalskoye,12,12,Livestock,3,37,покупка лошадей
1911,Shalskoye,12,12,PersonalExpenses,2,31,на продовольствие
1911,Tulomozero,8,12,FarmBuildings,4,165,
1911,Tulomozero,8,12,Housing,70,1245,
1911,Tulomozero,8,12,FarmTools,2,20,
1911,Tulomozero,8,12,CraftTools,2,20,
1911,Tulomozero,8,12,Livestock,17,264,
1911,Tulomozero,8,12,GoodsForSale,2,108,
1911,Tulomozero,8,12,AnimalFeed,32,925,
1911,Tulomozero,8,12,PersonalExpenses,4,100,
1912,Gimoretskoye,10,12,FarmBuildings,13,255,"постройка сараев, амбаров и ремонт мельниц"
1912,Gimoretskoye,10,12,Housing,18,345,постройка и ремонт домов
1912,Gimoretskoye,10,12,FarmTools,6,125,"швейная машина, соломорезка, телега, сани, дровни"
1912,Gimoretskoye,10,12,CraftTools,5,100,рыболовные сети и на токарный станок
1912,Gimoretskoye,10,12,Livestock,13,202,покупка лошадей и коров
1912,Gimoretskoye,10,12,GoodsForSale,12,470,"рыба, треска, сельди, семга и мясо"
1912,Gimoretskoye,10,12,AnimalFeed,3,60,покупка соломы и сена
1912,Gimoretskoye,10,12,Migration,1,10,
1912,Gimoretskoye,10,12,DebtRepayment,1,7,
1912,Gimoretskoye,10,12,PersonalExpenses,7,165,"платье, свадьба, журналы"
1912,Gimoretskoye,7,9,Housing,1,20,на выкуп нового дома
1912,Gimoretskoye,7,9,CraftMaterials,1,50, на покупку железа для кзницы
1912,Gimoretskoye,7,9,LaborFuel,1,20,на наем рабочих
1912,Gimoretskoye,7,9,GoodsForSale,2,50,для торговли галатереей 
1912,Gimoretskoye,1,3,FarmBuildings,15,315,
1912,Gimoretskoye,1,3,Housing,26,590,
1912,Gimoretskoye,1,3,LandImprovement,1,40,осушение болота
1912,Gimoretskoye,1,3,FarmTools,6,80,покупка саней и телег
1912,Gimoretskoye,1,3,CraftTools,8,120,рыболовные принадлежности
1912,Gimoretskoye,1,3,Livestock,2,35,
1912,Gimoretskoye,1,3,Seeds,1,15,покупка клеверных семян
1912,Gimoretskoye,1,3,CraftMaterials,1,20,
1912,Gimoretskoye,1,3,GoodsForSale,7,245,
1912,Gimoretskoye,1,3,AnimalFeed,2,10,
1912,Gimoretskoye,1,3,Migration,36,553,
1912,Gimoretskoye,1,3,DebtRepayment,4,86,
1912,Gimoretskoye,1,3,PersonalExpenses,2,40,"газеты, книги, журнал"
1912,Gimoretskoye,4,6,FarmBuildings,2,25,
1912,Gimoretskoye,4,6,FarmTools,2,10,1 железная борона и колеса к телеге
1912,Gimoretskoye,4,6,CraftTools,2,15,рыболовные сетки
1912,Gimoretskoye,4,6,Livestock,2,45,покупка коровы и приб.(?) для лошади
1912,Gimoretskoye,4,6,GoodsForSale,3,55,на торговлю рыбой и галантирейной мел.
1912,Gimoretskoye,4,6,AnimalFeed,1,5,на прокорм земскому жеребцу для случек
1912,Gimoretskoye,4,6,Migration,16,205,
1912,Gimoretskoye,4,6,DebtRepayment,1,15,
1912,Gimoretskoye,4,6,PersonalExpenses,1,10,"газеты, книги, журналы"
1912,Megregskoye,7,9,Housing,3,80,на достройку домов
1912,Megregskoye,7,9,FarmTools,1,25,на покупку материала для кабриолета
1912,Megregskoye,7,9,Livestock,2,70,на покупку лошади и мелкого рогатого скота
1912,Megregskoye,7,9,LaborFuel,16,250,на наем рабочих на сенокос
1912,Megregskoye,10,12,FarmBuildings,9,332,на постройку сараев и риги
1912,Megregskoye,10,12,Housing,3,70,на достройку домов
1912,Megregskoye,10,12,FarmTools,13,136,на покупку телег и саней
1912,Megregskoye,10,12,Livestock,56,1840,на покупку лошадей и коров 
1912,Megregskoye,10,12,CraftMaterials,2,50,на покупку кожи
1912,Megregskoye,10,12,GoodsForSale,1,75,на покупку разного товара для мелочной лавки
1912,Megregskoye,10,12,AnimalFeed,2,81,на покупку сена и овса
1912,Megregskoye,4,6,FarmBuildings,9,355,на потстройку двора и сараев 
1912,Megregskoye,4,6,Housing,20,785,на постройку и реморт домов
1912,Megregskoye,4,6,FarmTools,18,375,на покупку и ремонт телег
1912,Megregskoye,4,6,CraftTools,2,30,на покупку столярных и кузнечных принадлежн.
1912,Megregskoye,4,6,Livestock,14,565,на покупку лошадей и коров
1912,Megregskoye,4,6,Seeds,37,639,на покупк семян овса
1912,Megregskoye,4,6,LaborFuel,5,89,на наем рабочих на сенокос
1912,Megregskoye,4,6,GoodsForSale,1,75,на покупку овса
1912,Shalskoye,1,3,Housing,21,503,
1912,Shalskoye,1,3,CraftTools,16,739,покупка и починка рыболовных снастей
1912,Shalskoye,1,3,Livestock,11,249,
1912,Shalskoye,1,3,Seeds,59,1151,
1912,Shalskoye,1,3,AnimalFeed,27,298,
1912,Shalskoye,1,3,DebtRepayment,6,216,
1912,Shalskoye,1,3,PersonalExpenses,16,298,
1912,Shalskoye,7,9,Housing,14,517,
1912,Shalskoye,7,9,CraftTools,2,300,на покупку рыбных снастей
1912,Shalskoye,7,9,Livestock,9,241,
1912,Shalskoye,7,9,Seeds,31,428,
1912,Shalskoye,7,9,LaborFuel,5,61,уборка хлеба
1912,Shalskoye,7,9,GoodsForSale,30,3252,приобретение муки для членов
1912,Shalskoye,7,9,DebtRepayment,1,75,
1912,Shalskoye,7,9,PersonalExpenses,6,251,"вопитание детей, одежда "
1912,Shalskoye,4,6,Housing,21,507,постройки и ремонт
1912,Shalskoye,4,6,CraftTools,6,249,покупка и ремонт рыболовных снастей
1912,Shalskoye,4,6,Livestock,3,75,
1912,Shalskoye,4,6,Seeds,12,299,
1912,Shalskoye,4,6,AnimalFeed,6,44,
1912,Shalskoye,4,6,PersonalExpenses,16,249,"уплата податей, свадьба, одежда"
1912,Shalskoye,10,12,Housing,41,876,
1912,Shalskoye,10,12,CraftTools,4,220,рыболовные снасти
1912,Shalskoye,10,12,Livestock,40,852,
1912,Shalskoye,10,12,Seeds,4,75,
1912,Shalskoye,10,12,AnimalFeed,25,260,
1912,Shalskoye,10,12,PersonalExpenses,16,380,
1912,Shungskoye,10,12,Livestock,2,140,"на лошадь, корову"
1912,Shungskoye,10,12,GoodsForSale,14,873,рыба
1912,Tipinitskoye,7,9,Housing,3,80,на покупку домов
1912,Tipinitskoye,7,9,Livestock,3,180,на покупку лошади и коров
1912,Tipinitskoye,7,9,GoodsForSale,50,2762,"коров, быков, разного сорта рыбы"
1912,Tipinitskoye,7,9,PersonalExpenses,32,530,на покупку хлеба
1912,Tipinitskoye,4,6,FarmBuildings,2,90,постройка соймы
