Russian,English,Synonym
Ведлозерское,Vedlozero,Vodlozerskoe
Великогубское,Velikaya Guba,
Великодворское,Velikodvorskoye,
Видлицкое,Vidlitsa,
Водлозерское,Vodlozero,
Гиморецкое,Gimorskoye,
Гимрецкое ,Gimretskoye,
Ивинское,Ivinskoye,Ивинского
Колодозерское,Kolodozero,
Кондопожское,Kondopoga,
Корбозерское,Korbozero,
Коткозерское,Kotkozero,
Кривецкое,Krivetskoye,
Кузарандское,Kuzaranda,Кузарандского
Купецкое,Kupetskoye,
Ладвинское,Ladvinskoye,
Мегрегское,Megregskoye,
Мятусовское,Myatusovskoye,
Нигижемское,Nigizhemskoye,
Олонецкое,Olonets,
Паданское,Padanskoye,
Песчанское,Peschanoye,
Пудожгорское,Pudozhgorskoye,
Сенногубское,Sennaya Guba,
Типиницкое,Tipinitskoye,
Толвуйское,Tolvuya,
Туломозерское,Tulomozero,
Шальское,Shalskoye,
Шунгское,Shungskoye,
Ялгубское,Yalgubskoye,
